,sentence,typicality,rating,subject/object
745,The truck hit the car.,T,4.0,"['truck', 'hit', 'car']"
746,The truck plowed the garden.,AT,2.3,"['truck', 'plow', 'garden']"
747,The truck plowed the snow.,T,4.65,"['truck', 'plow', 'snow']"
748,The undertaker dug the trench.,AT,3.2,"['undertaker', 'dig', 'trench']"
749,The undertaker dug the grave.,T,4.15,"['undertaker', 'dig', 'grave']"
750,The usurer lent the toy.,AT,1.9,"['usurer', 'lend', 'toy']"
751,The usurer lent the money.,T,5.2,"['usurer', 'lend', 'money']"
752,The vandal sprayed the perfume.,AT,1.85,"['vandal', 'spray', 'perfume']"
753,The vandal sprayed the paint.,T,6.2,"['vandal', 'spray', 'paint']"
754,The veterinarian examined the plant.,AT,2.2,"['veterinarian', 'examine', 'plant']"
755,The veterinarian examined the dog.,T,6.85,"['veterinarian', 'examine', 'dog']"
756,The violinist played the trumpet.,AT,3.0,"['violinist', 'play', 'trumpet']"
757,The violinist played the violin.,T,6.9,"['violinist', 'play', 'violin']"
758,The violinist wore the helmet.,AT,3.05,"['violinist', 'wear', 'helmet']"
759,The violinist wore the tuxedo.,T,5.9,"['violinist', 'wear', 'tuxedo']"
760,The volunteer brought the hatchet.,AT,1.75,"['volunteer', 'bring', 'hatchet']"
761,The volunteer brought the food.,T,6.1,"['volunteer', 'bring', 'food']"
762,The waiter brought the guitar.,AT,1.55,"['waiter', 'bring', 'guitar']"
763,The waiter brought the glass.,T,6.8,"['waiter', 'bring', 'glass']"
764,The waiter carried the rifle.,AT,1.55,"['waiter', 'carry', 'rifle']"
765,The waiter carried the tray.,T,6.35,"['waiter', 'carry', 'tray']"
766,The waiter cleared the road.,AT,2.9,"['waiter', 'clear', 'road']"
767,The waiter cleared the bar.,T,6.05,"['waiter', 'clear', 'bar']"
768,The waiter cleared the tube.,AT,2.6,"['waiter', 'clear', 'tube']"
769,The waiter cleared the table.,T,6.25,"['waiter', 'clear', 'table']"
770,The waiter cut the hair.,AT,1.45,"['waiter', 'cut', 'hair']"
771,The waiter cut the cake.,T,4.85,"['waiter', 'cut', 'cake']"
772,The waiter delivered the speech.,AT,1.6,"['waiter', 'deliver', 'speech']"
773,The waiter delivered the drink.,T,6.35,"['waiter', 'deliver', 'drink']"
774,The waiter fetched the ball.,AT,1.85,"['waiter', 'fetch', 'ball']"
775,The waiter fetched the water.,T,6.2,"['waiter', 'fetch', 'water']"
776,The waiter held the flag.,AT,3.5,"['waiter', 'hold', 'flag']"
777,The waiter held the bottle.,T,6.15,"['waiter', 'hold', 'bottle']"
778,The waiter mixed the cement.,AT,1.5,"['waiter', 'mix', 'cement']"
779,The waiter mixed the drink.,T,5.4,"['waiter', 'mix', 'drink']"
780,The waiter opened the sarcophagus.,AT,1.35,"['waiter', 'open', 'sarcophagus']"
781,The waiter opened the bottle.,T,6.25,"['waiter', 'open', 'bottle']"
782,The waiter poured the gasoline.,AT,1.4,"['waiter', 'pour', 'gasoline']"
783,The waiter poured the wine.,T,6.6,"['waiter', 'pour', 'wine']"
784,The waiter prepared the bomb.,AT,1.1,"['waiter', 'prepare', 'bomb']"
785,The waiter prepared the drink.,T,6.4,"['waiter', 'prepare', 'drink']"
786,The witness explained the equation.,AT,1.8,"['witness', 'explain', 'equation']"
787,The witness explained the circumstances.,T,5.6,"['witness', 'explain', 'circumstances']"
788,The witness reported the birth.,AT,2.4,"['witness', 'report', 'birth']"
789,The witness reported the crime.,T,6.4,"['witness', 'report', 'crime']"
790,The woman carried the stone.,AT,3.1,"['woman', 'carry', 'stone']"
791,The woman carried the bag.,T,6.25,"['woman', 'carry', 'bag']"
792,The woman opened the manhole.,AT,2.4,"['woman', 'open', 'manhole']"
793,The woman opened the bag.,T,6.45,"['woman', 'open', 'bag']"
794,The woman painted the sign.,AT,3.55,"['woman', 'paint', 'sign']"
795,The woman painted the toenail.,T,6.1,"['woman', 'paint', 'toenail']"
